Year,Month,Day,Period,Value
2025,6,12,1,1.9541515448234998
2025,6,12,2,1.6196125541804998
2025,6,12,3,1.6196125541804998
2025,6,12,4,1.6196125541804998
2025,6,12,5,1.2755090246415
2025,6,12,6,1.2755090246415
2025,6,12,7,1.2755090246415
2025,6,12,8,1.2755090246415
2025,6,12,9,1.3101542281574998
2025,6,12,10,1.3101542281574998
2025,6,12,11,1.3101542281574998
2025,6,12,12,1.3101542281574998
2025,6,12,13,1.1616537411435
2025,6,12,14,1.1616537411435
2025,6,12,15,1.1616537411435
2025,6,12,16,1.1616537411435
2025,6,12,17,0.8710600406144999
2025,6,12,18,0.8710600406144999
2025,6,12,19,0.8710600406144999
2025,6,12,20,0.8710600406144999
2025,6,12,21,0.8515441010010001
2025,6,12,22,0.8515441010010001
2025,6,12,23,0.8515441010010001
2025,6,12,24,0.8515441010010001
2025,6,12,25,1.0927434164954999
2025,6,12,26,1.0927434164954999
2025,6,12,27,1.0927434164954999
2025,6,12,28,1.0927434164954999
2025,6,12,29,1.268686361448
2025,6,12,30,1.268686361448
2025,6,12,31,1.268686361448
2025,6,12,32,1.268686361448
2025,6,12,33,1.2144268351215
2025,6,12,34,1.2144268351215
2025,6,12,35,1.9156009514234997
2025,6,12,36,2.247626397819
2025,6,12,37,2.335158915276
2025,6,12,38,2.335158915276
2025,6,12,39,3.0984787250175
2025,6,12,40,3.0984787250175
2025,6,12,41,3.3410445039345
2025,6,12,42,3.9963058831245
2025,6,12,43,3.9963058831245
2025,6,12,44,4.346862027040499
2025,6,12,45,4.497951554118
2025,6,12,46,4.497951554118
2025,6,12,47,4.497951554118
2025,6,12,48,4.497951554118
2025,6,12,49,4.437876734775
2025,6,12,50,4.437876734775
2025,6,12,51,4.437876734775
2025,6,12,52,4.437876734775
2025,6,12,53,4.6083416772855
2025,6,12,54,4.6083416772855
2025,6,12,55,4.6083416772855
2025,6,12,56,4.6083416772855
2025,6,12,57,4.5672516693044996
2025,6,12,58,4.5672516693044996
2025,6,12,59,4.5672516693044996
2025,6,12,60,4.9094365637954995
2025,6,12,61,4.6763764782570005
2025,6,12,62,4.6763764782570005
2025,6,12,63,4.6763764782570005
2025,6,12,64,4.6763764782570005
2025,6,12,65,4.665637089960001
2025,6,12,66,4.665637089960001
2025,6,12,67,4.665637089960001
2025,6,12,68,4.665637089960001
2025,6,12,69,4.6092665010315
2025,6,12,70,4.6092665010315
2025,6,12,71,4.6092665010315
2025,6,12,72,4.6092665010315
2025,6,12,73,4.6735966377045
2025,6,12,74,4.6735966377045
2025,6,12,75,4.6735966377045
2025,6,12,76,4.6735966377045
2025,6,12,77,4.7438662666889995
2025,6,12,78,4.7438662666889995
2025,6,12,79,4.7438662666889995
2025,6,12,80,4.7438662666889995
2025,6,12,81,4.8652953750555
2025,6,12,82,4.8652953750555
2025,6,12,83,4.8652953750555
2025,6,12,84,4.8652953750555
2025,6,12,85,4.694460871848
2025,6,12,86,4.694460871848
2025,6,12,87,4.694460871848
2025,6,12,88,4.3046134403085
2025,6,12,89,4.1070965354595
2025,6,12,90,3.774529601832
2025,6,12,91,3.4415640372795
2025,6,12,92,3.4415640372795
2025,6,12,93,2.6563682843775003
2025,6,12,94,2.3167536102315
2025,6,12,95,1.9864345753725001
2025,6,12,96,1.9864345753725001
